iter	Passed	Remaining
402	13767	88721
403	13810	88740
404	13845	88716
405	13865	88591
406	13899	88556
407	13938	88552
408	13972	88517
409	14000	88439
410	14036	88418
411	14072	88397
412	14111	88396
413	14147	88372
414	14173	88285
415	14207	88253
416	14241	88215
417	14271	88158
418	14305	88119
419	14336	88065
420	14372	88044
421	14413	88054
422	14445	88005
423	14480	87977
424	14517	87961
425	14558	87966
426	14586	87895
427	14624	87884
428	14665	87889
429	14698	87847
430	14727	87783
431	14766	87778
432	14772	87577
433	14806	87544
434	14841	87516
435	14877	87491
436	14910	87449
437	14946	87423
438	14980	87389
439	15020	87391
440	15053	87350
441	15090	87331
442	15118	87262
443	15149	87213
444	15192	87230
445	15223	87178
446	15260	87156
447	15294	87126
448	15330	87099
449	15364	87064
450	15397	87024
451	15425	86953
452	15459	86921
453	15492	86882
454	15529	86863
455	15565	86839
456	15601	86813
457	15634	86773
458	15650	86642
459	15688	86626
460	15722	86591
461	15775	86665
462	15814	86654
463	15856	86661
464	15891	86632
465	15923	86590
466	15959	86564
467	16000	86565
468	16036	86544
469	16071	86510
470	16106	86483
471	16142	86457
472	16174	86411
473	16206	86368
474	16231	86284
475	16272	86286
476	16324	86343
477	16355	86295
478	16391	86269
479	16431	86266
480	16468	86243
481	16507	86236
482	16545	86219
483	16576	86168
484	16604	86103
485	16636	86056
486	16673	86036
487	16712	86028
488	16752	86025
489	16788	85995
490	16817	85935
491	16851	85900
492	16879	85835
493	16907	85769
494	16945	85755
495	16981	85730
496	17020	85719
497	17026	85543
498	17066	85538
499	17103	85518
500	17144	85518
501	17179	85484
502	17182	85298
503	17220	85283
504	17259	85271
505	17293	85238
506	17329	85210
507	17364	85181
508	17397	85140
509	17432	85112
510	17468	85088
511	17497	85027
512	17531	84992
513	17570	84980
514	17604	84944
515	17635	84897
516	17671	84873
517	17707	84845
518	17739	84799
519	17771	84754
520	17806	84724
521	17843	84706
522	17882	84695
523	17918	84670
524	17956	84654
525	17989	84610
526	18021	84569
527	18055	84533
528	18087	84489
529	18127	84480
530	18162	84448
531	18185	84364
532	18212	84295
533	18244	84252
534	18275	84204
535	18306	84157
536	18346	84147
537	18381	84116
538	18417	84090
539	18457	84083
540	18484	84018
541	18526	84020
542	18554	83957
543	18595	83952
544	18633	83937
545	18671	83917
546	18709	83899
547	18747	83883
548	18791	83893
549	18833	83895
550	18870	83871
551	18916	83892
552	18958	83892
553	18997	83877
554	19041	83887
555	19080	83873
556	19123	83876
557	19157	83840
558	19195	83819
559	19236	83817
560	19248	83684
561	19285	83660
562	19320	83630
563	19355	83598
564	19390	83567
565	19421	83520
566	19453	83473
567	19486	83436
568	19518	83391
569	19554	83361
570	19580	83292
571	19616	83268
572	19646	83212
573	19658	83086
574	19701	83089
575	19714	82963
576	19751	82943
577	19784	82903
578	19820	82874
579	19826	82726
580	19831	82569
581	19867	82543
