iter	R2	RMSE
0	0.06568396482	0.1374259802
1	0.1262225631	0.1328991964
2	0.1817455909	0.1286074476
3	0.2338866646	0.1244424214
4	0.2811543761	0.1205423791
5	0.3265668633	0.1166726825
6	0.367519793	0.1130694844
7	0.4065848576	0.1095219718
8	0.4420207134	0.1062015807
9	0.47448934	0.1030653559
10	0.5040635536	0.1001232538
11	0.5318017151	0.09728297681
12	0.559159414	0.09439798577
13	0.583101165	0.09179885891
14	0.6059613053	0.08924653794
15	0.6260999829	0.08693600611
16	0.6459128971	0.08460129217
17	0.6639296583	0.0824208399
18	0.6801939309	0.08040171134
19	0.6957070896	0.07842740748
20	0.7098880037	0.0765781351
21	0.7233454201	0.07478093212
22	0.7354853945	0.07312178266
23	0.7458656328	0.07167267966
24	0.7571945596	0.07005693756
25	0.7669075188	0.0686413908
26	0.7762118342	0.06725746595
27	0.784946545	0.06593183365
28	0.792790604	0.06471823498
29	0.8001105245	0.06356483241
30	0.8075644736	0.06236839502
31	0.8142956088	0.06126790477
32	0.8205434741	0.06022843384
33	0.8263842785	0.05924019328
34	0.8316025783	0.05834312146
35	0.8362767078	0.05752772193
36	0.841078565	0.05667782567
37	0.8451342561	0.05594993981
38	0.8496967985	0.05511960005
39	0.8533220735	0.0544508073
40	0.8569782178	0.05376789507
41	0.8605602531	0.05309030678
42	0.8641370251	0.05240497304
43	0.8670027332	0.05184934807
44	0.8700595614	0.05125002792
45	0.87245992	0.05077445664
46	0.8747770347	0.05031111404
47	0.8768418122	0.0498946048
48	0.8790336735	0.04944862139
49	0.8808108429	0.04908404169
50	0.8825761241	0.04871919994
51	0.8844834578	0.04832190335
52	0.8861348376	0.04797526441
53	0.8875942186	0.04766682953
54	0.8889525207	0.04737795318
55	0.8906613158	0.04701201475
56	0.8918691052	0.04675163896
57	0.8930356324	0.04649877439
58	0.8940287327	0.04628241435
59	0.8949867936	0.04607272521
60	0.8963437548	0.04577408573
61	0.897693298	0.0454751337
62	0.8990898484	0.04516368518
63	0.9003475221	0.0448813584
64	0.9011875762	0.04469178679
65	0.9020066291	0.04450617701
66	0.9029296112	0.04429608324
67	0.9036576708	0.04412965304
68	0.9043546847	0.04396972948
69	0.9052797948	0.04375656861
70	0.9059649634	0.04359802248
71	0.9068016831	0.04340362241
72	0.9074584607	0.04325041726
73	0.9080239061	0.0431180809
74	0.9085874023	0.04298579541
75	0.9090544936	0.04287583242
76	0.9097395766	0.04271403758
77	0.9103418199	0.04257129894
78	0.9109333746	0.04243062619
79	0.911286078	0.0423465303
80	0.9117513881	0.04223532919
81	0.9120653079	0.04216014208
82	0.9126117888	0.04202893323
83	0.9130650955	0.04191978367
84	0.9135278441	0.04180806671
85	0.9138745335	0.04172417283
86	0.9141360026	0.04166078928
87	0.9146015396	0.04154769766
88	0.9148473367	0.0414878625
89	0.915440835	0.04134302833
90	0.9156768606	0.04128528869
91	0.9159500278	0.04121836201
92	0.9162928059	0.04113422643
93	0.9166373355	0.04104948715
94	0.9170854555	0.04093900674
95	0.917491048	0.04083875348
96	0.9176857178	0.04079054799
97	0.9181396976	0.04067790843
98	0.9185175897	0.04058390901
99	0.9186942766	0.04053988396
100	0.918870447	0.04049593994
101	0.9190925542	0.04044046937
102	0.9193025604	0.04038795093
103	0.919440749	0.04035335536
104	0.9197686559	0.04027114484
105	0.9200314932	0.04020512674
106	0.9202948284	0.04013887468
107	0.9204817519	0.04009178048
108	0.9205575963	0.04007265617
109	0.9207587102	0.0400219007
110	0.9210235528	0.03995496351
111	0.9212125231	0.03990713393
112	0.9214232297	0.03985373506
113	0.9217207378	0.0397782162
114	0.9218271493	0.0397511701
115	0.9220808449	0.03968661512
116	0.9222913089	0.03963298098
117	0.9224525086	0.03959185213
118	0.9225522568	0.03956638072
119	0.9228692698	0.03948532015
120	0.9230346475	0.03944296674
121	0.9233635838	0.03935859037
122	0.9235571698	0.03930884841
123	0.9236585752	0.03928276714
124	0.9237726072	0.03925341765
125	0.9239031045	0.03921980334
126	0.9240310838	0.03918680966
127	0.9242720606	0.03912460913
128	0.9244989229	0.03906596132
129	0.9247283157	0.03900656966
130	0.9248653845	0.03897103824
131	0.9250158441	0.03893199829
132	0.9251664952	0.03889286936
133	0.9252502784	0.03887109114
134	0.9254129868	0.03882876256
135	0.9255407887	0.03879548254
136	0.9257101046	0.03875134809
137	0.9257784175	0.03873352719
138	0.9258729724	0.03870884697
139	0.9259861858	0.03867927588
140	0.9260394531	0.03866535474
141	0.9261558696	0.03863491244
142	0.9263440688	0.03858564856
143	0.9264727589	0.0385519258
144	0.9266311906	0.0385103688
145	0.9267594632	0.03847668974
146	0.9268457022	0.03845403038
147	0.9270063074	0.0384117956
148	0.9270761404	0.03839341694
149	0.9272880066	0.03833760405
150	0.9273962095	0.03830906829
151	0.9274534098	0.03829397456
152	0.9276232268	0.03824912906
153	0.9277543783	0.03821445837
154	0.92785056	0.03818901213
155	0.9279124414	0.03817263159
156	0.9281091413	0.03812051661
157	0.9281865159	0.03809999693
158	0.928302057	0.03806933495
159	0.9285231332	0.03801059741
160	0.9286771914	0.0379696121
161	0.9287679775	0.03794543883
162	0.9288379719	0.03792679118
163	0.9290566638	0.03786846889
164	0.9292592726	0.03781435549
165	0.9294322112	0.03776810516
166	0.9295592119	0.03773410427
167	0.9296304951	0.03771500675
168	0.9296746964	0.03770315989
169	0.9297130924	0.03769286596
170	0.9297780924	0.03767543311
171	0.9298058469	0.03766798695
172	0.9298542388	0.03765500055
173	0.9299958854	0.03761696264
174	0.9301329779	0.03758011101
175	0.930246812	0.03754948394
176	0.9304540123	0.03749367253
177	0.930543459	0.03746955349
178	0.9307289729	0.03741948064
179	0.9307589356	0.03741138702
180	0.9307765554	0.03740662665
181	0.930841321	0.0373891237
182	0.9309201245	0.03736781594
183	0.9309939717	0.0373478373
184	0.9310185739	0.03734117901
185	0.9310970047	0.03731994482
186	0.9312716569	0.03727261635
187	0.931412658	0.037234363
188	0.9314842807	0.03721491685
189	0.9315480852	0.03719758481
190	0.9315992805	0.03718367214
191	0.9316553995	0.03716841544
192	0.9318196078	0.03712373721
193	0.931883142	0.03710643621
194	0.9321154281	0.03704311363
195	0.9321305402	0.03703899023
196	0.932187011	0.03702357788
197	0.9323045404	0.03699148045
198	0.9323762837	0.03697187356
199	0.9324772413	0.03694426501
200	0.9325176111	0.03693321942
201	0.932525556	0.03693104524
202	0.932595684	0.03691184853
203	0.9326397242	0.03689978795
204	0.9326936753	0.03688500786
205	0.9327967651	0.03685674955
206	0.9328683638	0.03683711062
207	0.9328857683	0.03683233513
208	0.9330163064	0.03679649801
209	0.9330247549	0.0367941774
210	0.9330544947	0.03678600741
211	0.9331611833	0.03675668348
212	0.933331242	0.03670989349
213	0.9333764001	0.03669745865
214	0.9334285433	0.03668309515
215	0.9334496007	0.03667729302
216	0.9334728591	0.03667088337
217	0.9335284297	0.03665556444
218	0.9336480673	0.03662256266
219	0.9337025444	0.03660752541
220	0.9337817329	0.03658565609
221	0.93381384	0.03657678541
222	0.9339114705	0.03654979846
223	0.9339585007	0.03653679126
224	0.9339772921	0.03653159282
225	0.9340878248	0.03650100012
226	0.9342364211	0.0364598319
227	0.9343003973	0.03644209314
228	0.9343799535	0.03642002245
229	0.9344208643	0.03640866763
230	0.9344878824	0.03639005909
231	0.9345114271	0.03638351931
232	0.9346146834	0.03635482493
233	0.9347429914	0.0363191372
234	0.9349055983	0.03627385912
235	0.9349607193	0.03625849776
236	0.9350189427	0.03624226477
237	0.9351114479	0.03621645885
238	0.9351608767	0.03620266228
239	0.9351823151	0.03619667679
240	0.9352495191	0.03617790725
241	0.9353880192	0.0361391946
242	0.9354195836	0.03613036613
243	0.935475386	0.03611475306
244	0.9355704745	0.03608813249
245	0.9356537335	0.03606480753
246	0.9356889489	0.03605493742
247	0.9358121913	0.03602037394
248	0.9359105296	0.03599277103
249	0.9360379743	0.03595696661
250	0.936125131	0.03593246021
251	0.9361710705	0.03591953637
252	0.9362612201	0.0358941617
